n,total time,average time
10,0.00012098178741926091,1.2098178741926091e-05
30,0.0006801726711787026,6.801726711787026e-05
50,0.001971474422773234,0.00019714744227732338
70,0.00326495322452125,0.000326495322452125
90,0.005470927050158281,0.000547092705015828
110,0.007596972034235705,0.0007596972034235705
130,0.010442065585190896,0.0010442065585190897
150,0.014011183817675743,0.0014011183817675744
170,0.017303816679937967,0.0017303816679937966
190,0.021450475218949272,0.002145047521894927
210,0.027049848228503315,0.0027049848228503314
230,0.03234443421576483,0.003234443421576483
250,0.03812139231687972,0.003812139231687972
270,0.04614506618232461,0.004614506618232461
290,0.05239040107484172,0.005239040107484172
310,0.06039043839570013,0.006039043839570013
330,0.07087200189092346,0.007087200189092346
350,0.07828921178344128,0.007828921178344128
370,0.0867520277667202,0.00867520277667202
390,0.0980627363654456,0.009806273636544561

