n,total time,average time
10,0.0003110071656031721,3.110071656031721e-05
110,0.0036639754179912387,0.00036639754179912387
210,0.007334481986463359,0.000733448198646336
310,0.010672210887738842,0.0010672210887738842
410,0.014137141719745117,0.0014137141719745116
510,0.016887378085190363,0.0016887378085190363
610,0.0199874975119414,0.00199874975119414
710,0.02419200338376193,0.0024192003383761928
810,0.026898076731688647,0.0026898076731688646
910,0.029944702925957856,0.0029944702925957857
1010,0.034197414908437196,0.0034197414908437194
1110,0.03693023487260838,0.003693023487260838
1210,0.04042471138535397,0.004042471138535397
1310,0.04374844496416763,0.004374844496416763
1410,0.046529160031848704,0.004652916003184871
1510,0.050143374303344146,0.005014337430334415
1610,0.05391620222929738,0.005391620222929739
1710,0.05627612460191145,0.0056276124601911445
1810,0.060165891222133894,0.00601658912221339
1910,0.06391539361066911,0.0063915393610669115

