n,total time,average time
10,0.0009292894108280255,4.6464470541401274e-05
20,0.004243070760350317,0.00021215353801751587
30,0.011537432822452228,0.0005768716411226114
40,0.02444734026671975,0.0012223670133359875
50,0.04522448497213376,0.002261224248606688
60,0.07284783041401272,0.003642391520700636
70,0.11108491739649681,0.005554245869824841
80,0.16288658190684702,0.00814432909534235
90,0.22875385648885327,0.011437692824442663
100,0.2995950686703821,0.014979753433519104
110,0.3941014380971334,0.01970507190485667
120,0.5042150801154457,0.025210754005772284
130,0.6393545357285026,0.031967726786425135
140,0.7919051054936306,0.03959525527468153
150,0.961803343949045,0.04809016719745225
160,1.1704720466759557,0.05852360233379779
170,1.3773213574840755,0.06886606787420377
180,1.6289678294187908,0.08144839147093955
190,1.9405634205812046,0.09702817102906022
200,2.244843812201429,0.11224219061007146
210,2.8216821755573243,0.1410841087778662
220,3.007802236763535,0.15039011183817674
230,3.561961957603504,0.17809809788017522
240,3.8606174736265864,0.19303087368132932
250,4.3630551477906,0.21815275738953002

