n,total time,average time
10,3.918690286663917e-05,3.918690286663917e-06
50,0.00013559912420468834,1.3559912420468834e-05
90,0.0001909583996813069,1.909583996813069e-05
130,0.0002795954418770563,2.795954418770563e-05
170,0.0003361987460186455,3.3619874601864555e-05
210,0.0004058643511122284,4.058643511122284e-05
250,0.0006157941879001427,6.157941879001428e-05
290,0.0005890475716547883,5.8904757165478824e-05
330,0.0007268237460209548,7.268237460209548e-05
370,0.0007349099323246122,7.349099323246122e-05
410,0.000816082802546525,8.16082802546525e-05
450,0.0009485718550941158,9.485718550941157e-05
490,0.0010316107683125963,0.00010316107683125964
530,0.0010885250796182078,0.00010885250796182078
570,0.0011460614052554163,0.00011460614052554164
610,0.0012169710390121935,0.00012169710390121934
650,0.0013376418192692086,0.00013376418192692085
690,0.0014415182125784298,0.00014415182125784298
730,0.0014440062699048184,0.00014440062699048185
770,0.001583337480096425,0.0001583337480096425

