n,average time
10,4.766184812898088e-05
20,0.00023079841759554142
30,0.0006282966759554135
40,0.0013130256021098724
50,0.0023494414311305747
60,0.0038752270352308904
70,0.00575661823248407
80,0.008317000273686306
90,0.011900549238654448
100,0.015432082255175178
110,0.02036619538714174
120,0.026353161076831232
130,0.032841812425358295
140,0.04081594284932322
150,0.04996182387042196
160,0.06030222121317683
170,0.07350812972730898
180,0.08476787980195062
190,0.0987765755623009
200,0.11400746728204628
210,0.1305389287669186
220,0.1505962007364648
230,0.170763056080812
240,0.19646974211285767
250,0.22048244986564444
260,0.2448047808021503
270,0.27428471461982584
280,0.3085050352060101
290,0.34294571991938694
300,0.3827818191431124
310,0.4235229803194656
320,0.46736391881468864
330,0.5174330401572462
340,0.5664010561803344
350,0.6244863561156435
360,0.6875322514430721
370,0.7523214663365877
380,0.8182518598228498
390,0.8882107291252013
400,0.9691622088972934
410,1.052487310907638
420,1.133967938271296
430,1.2176681304737216
440,1.3102853801751677
450,1.4107800059713298
460,1.519219574168983
470,1.6189063122014402
480,1.7338161667744714
490,1.8542928319068437
500,1.9667092953821594

