n,average time
10,3.172273090967792e-06
2510,0.00047658738057521077
5010,0.000991117635351202
7510,0.0014711882961762513
10010,0.001964212405459875
12510,0.0024423237211351535
15010,0.002997144954235864
17510,0.0034079854199887904
20010,0.003906856463964914
22510,0.004415244327230994
25010,0.004881444068467999
27510,0.005460337256153025
30010,0.005850573497212963
32510,0.006369831060891329
35010,0.007023614774089993
37510,0.007306677945848605
40010,0.0077878215814109805
42510,0.008368736315691194
45010,0.008837766222137588
47510,0.009255759852709388
50010,0.009912342630371995
52510,0.010591395675777448
55010,0.010786956981496587
57510,0.011356442202429661
60010,0.011801244650683884
62510,0.012213997810505361
65010,0.01269103615147742
67510,0.013227694566080573
70010,0.013625099522300843
72510,0.014169797472118262
75010,0.01488836397788873
77510,0.015341750223916506
80010,0.015893399183931935
82510,0.016479523288205657
85010,0.016734580264727583
87510,0.01740783302648765
90010,0.0175943751243949
92510,0.018017360419986517
95010,0.018752565809109
97510,0.018969322253190056
100010,0.01953586845642121
102510,0.02050932088474724
105010,0.020690218202605592
107510,0.02105251044984584
110010,0.02145862360667934
112510,0.02315785790704581
115010,0.022546697725897503
117510,0.02315187101910965
120010,0.02364405540902794
122510,0.02419256319664669

