A,CoinsNeeded
2000,36
2001,37
2002,37
2003,38
2004,34
2005,35
2006,35
2007,36
2008,36
2009,37
2010,35
2011,36
2012,36
2013,37
2014,37
2015,38
2016,34
2017,35
2018,35
2019,36
2020,36
2021,37
2022,35
2023,36
2024,36
2025,37
2026,37
2027,38
2028,34
2029,35
2030,35
2031,36
2032,36
2033,37
2034,35
2035,36
2036,36
2037,37
2038,37
2039,38
2040,34
2041,35
2042,35
2043,36
2044,36
2045,37
2046,35
2047,36
2048,36
2049,37
2050,37
2051,38
2052,35
2053,36
2054,36
2055,37
2056,37
2057,38
2058,36
2059,37
2060,37
2061,38
2062,38
2063,39
2064,35
2065,36
2066,36
2067,37
2068,37
2069,38
2070,36
2071,37
2072,37
2073,38
2074,38
2075,39
2076,35
2077,36
2078,36
2079,37
2080,37
2081,38
2082,36
2083,37
2084,37
2085,38
2086,38
2087,39
2088,35
2089,36
2090,36
2091,37
2092,37
2093,38
2094,36
2095,37
2096,37
2097,38
2098,38
2099,39
2100,35
2101,36
2102,36
2103,37
2104,37
2105,38
2106,36
2107,37
2108,37
2109,38
2110,38
2111,39
2112,36
2113,37
2114,37
2115,38
2116,38
2117,39
2118,37
2119,38
2120,38
2121,39
2122,39
2123,40
2124,36
2125,37
2126,37
2127,38
2128,38
2129,39
2130,37
2131,38
2132,38
2133,39
2134,39
2135,40
2136,36
2137,37
2138,37
2139,38
2140,38
2141,39
2142,37
2143,38
2144,38
2145,39
2146,39
2147,40
2148,36
2149,37
2150,37
2151,38
2152,38
2153,39
2154,37
2155,38
2156,38
2157,39
2158,39
2159,40
2160,36
2161,37
2162,37
2163,38
2164,38
2165,39
2166,37
2167,38
2168,38
2169,39
2170,39
2171,40
2172,37
2173,38
2174,38
2175,39
2176,39
2177,40
2178,38
2179,39
2180,39
2181,40
2182,40
2183,41
2184,37
2185,38
2186,38
2187,39
2188,39
2189,40
2190,38
2191,39
2192,39
2193,40
2194,40
2195,41
2196,37
2197,38
2198,38
2199,39
2200,39
