A,CoinsNeeded
2000,67
2001,68
2002,67
2003,68
2004,67
2005,68
2006,67
2007,68
2008,67
2009,68
2010,67
2011,68
2012,68
2013,69
2014,68
2015,69
2016,68
2017,69
2018,68
2019,69
2020,68
2021,69
2022,68
2023,69
2024,68
2025,69
2026,68
2027,69
2028,68
2029,69
2030,68
2031,69
2032,68
2033,69
2034,68
2035,69
2036,68
2037,69
2038,68
2039,69
2040,68
2041,69
2042,69
2043,70
2044,69
2045,70
2046,69
2047,70
2048,69
2049,70
2050,69
2051,70
2052,69
2053,70
2054,69
2055,70
2056,69
2057,70
2058,69
2059,70
2060,69
2061,70
2062,69
2063,70
2064,69
2065,70
2066,69
2067,70
2068,69
2069,70
2070,69
2071,70
2072,70
2073,71
2074,70
2075,71
2076,70
2077,71
2078,70
2079,71
2080,70
2081,71
2082,70
2083,71
2084,70
2085,71
2086,70
2087,71
2088,70
2089,71
2090,70
2091,71
2092,70
2093,71
2094,70
2095,71
2096,70
2097,71
2098,70
2099,71
2100,70
2101,71
2102,71
2103,72
2104,71
2105,72
2106,71
2107,72
2108,71
2109,72
2110,71
2111,72
2112,71
2113,72
2114,71
2115,72
2116,71
2117,72
2118,71
2119,72
2120,71
2121,72
2122,71
2123,72
2124,71
2125,72
2126,71
2127,72
2128,71
2129,72
2130,71
2131,72
2132,72
2133,73
2134,72
2135,73
2136,72
2137,73
2138,72
2139,73
2140,72
2141,73
2142,72
2143,73
2144,72
2145,73
2146,72
2147,73
2148,72
2149,73
2150,72
2151,73
2152,72
2153,73
2154,72
2155,73
2156,72
2157,73
2158,72
2159,73
2160,72
2161,73
2162,73
2163,74
2164,73
2165,74
2166,73
2167,74
2168,73
2169,74
2170,73
2171,74
2172,73
2173,74
2174,73
2175,74
2176,73
2177,74
2178,73
2179,74
2180,73
2181,74
2182,73
2183,74
2184,73
2185,74
2186,73
2187,74
2188,73
2189,74
2190,73
2191,74
2192,74
2193,75
2194,74
2195,75
2196,74
2197,75
2198,74
2199,75
2200,74
