n,Average Runtime
2000,1.0489672422409058e-05
2001,1.1055171489715576e-05
2002,1.092422753572464e-05
2003,1.139473170042038e-05
2004,1.1701695621013642e-05
2005,1.1919811367988586e-05
2006,1.541152596473694e-05
2007,1.0899081826210021e-05
2008,1.4618225395679475e-05
2009,1.1684000492095948e-05
2010,1.2674927711486817e-05
2011,2.2432953119277955e-05
2012,1.2267380952835083e-05
2013,1.9407086074352265e-05
2014,1.1614337563514709e-05
2015,1.1456944048404693e-05
2016,1.4175474643707275e-05
2017,1.1994875967502594e-05
2018,1.2378022074699401e-05
2019,1.0936707258224488e-05
2020,2.1099485456943513e-05
2021,1.1651962995529175e-05
2022,1.201871782541275e-05
2023,1.3000890612602234e-05
2024,1.043565571308136e-05
2025,1.4249235391616821e-05
2026,1.1787936091423035e-05
2027,1.1301413178443908e-05
2028,1.1227838695049285e-05
2029,1.245792955160141e-05
2030,1.0053813457489014e-05
2031,1.1047907173633576e-05
2032,1.2869946658611298e-05
2033,1.3213790953159333e-05
2034,1.2734159827232362e-05
2035,2.1212734282016754e-05
2036,1.0883063077926636e-05
2037,1.377258449792862e-05
2038,1.709014177322388e-05
2039,1.2280605733394623e-05
2040,1.1740438640117646e-05
2041,1.1980533599853516e-05
2042,2.2379867732524873e-05
2043,1.0864622890949249e-05
2044,1.3038329780101775e-05
2045,1.1745095252990723e-05
2046,2.0567141473293304e-05
2047,1.344773918390274e-05
2048,2.3156963288784026e-05
2049,2.0310096442699432e-05
2050,1.992229372262955e-05
2051,1.1324882507324219e-05
2052,2.1328963339328765e-05
2053,1.3848580420017242e-05
2054,1.2388825416564941e-05
2055,1.2709759175777435e-05
2056,1.9888393580913544e-05
2057,1.1703744530677795e-05
2058,1.252349466085434e-05
2059,1.2502819299697875e-05
2060,1.2725591659545898e-05
2061,1.0817311704158783e-05
2062,1.9828788936138153e-05
2063,1.6697868704795838e-05
2064,1.4589913189411163e-05
2065,1.592785120010376e-05
2066,2.392437309026718e-05
2067,2.0044855773448944e-05
2068,2.161934971809387e-05
2069,2.1274201571941376e-05
2070,2.317819744348526e-05
2071,2.2634118795394898e-05
2072,2.395510673522949e-05
2073,2.2132508456707e-05
2074,2.0735710859298705e-05
2075,2.1355226635932922e-05
2076,2.1336600184440613e-05
2077,2.2602640092372896e-05
2078,2.4143047630786897e-05
2079,2.321973443031311e-05
2080,2.10542231798172e-05
2081,2.3441389203071594e-05
2082,2.3647211492061615e-05
2083,2.2679753601551057e-05
2084,2.421010285615921e-05
2085,2.384427934885025e-05
2086,2.2189132869243623e-05
2087,2.1088868379592896e-05
2088,2.198740839958191e-05
2089,2.2175908088684083e-05
2090,2.258140593767166e-05
2091,2.4893321096897125e-05
2092,2.4267472326755524e-05
2093,2.114642411470413e-05
2094,2.2080540657043456e-05
2095,2.3701414465904237e-05
2096,2.3864954710006713e-05
2097,2.3914501070976257e-05
2098,2.14332714676857e-05
2099,2.0672567188739777e-05
2100,1.8471665680408477e-05
2101,1.861844211816788e-05
2102,1.9298307597637178e-05
2103,1.9936636090278625e-05
2104,2.1726824343204498e-05
2105,2.0995549857616424e-05
2106,1.858659088611603e-05
2107,1.9365362823009492e-05
2108,2.0048581063747406e-05
2109,2.0778924226760865e-05
2110,2.1998770534992218e-05
2111,2.3752078413963317e-05
2112,2.046152949333191e-05
2113,1.8520839512348174e-05
2114,1.9413791596889497e-05
2115,2.0767562091350555e-05
2116,2.1936185657978057e-05
2117,2.202540636062622e-05
2118,2.18953937292099e-05
2119,1.9342079758644105e-05
2120,2.083536237478256e-05
2121,2.1260976791381835e-05
2122,2.210959792137146e-05
2123,2.2115372121334077e-05
2124,2.328474074602127e-05
2125,2.062991261482239e-05
2126,1.9185245037078857e-05
2127,2.0595081150531768e-05
2128,2.1122395992279053e-05
2129,2.2785738110542297e-05
2130,2.237558364868164e-05
2131,2.264734357595444e-05
2132,1.9870884716510773e-05
2133,2.1326355636119843e-05
2134,2.2053346037864684e-05
2135,2.204384654760361e-05
2136,2.3149140179157258e-05
2137,1.91710889339447e-05
2138,2.0499154925346374e-05
2139,2.0548887550830842e-05
2140,2.172943204641342e-05
2141,2.239067107439041e-05
2142,2.320222556591034e-05
2143,1.920294016599655e-05
2144,2.0093470811843873e-05
2145,2.1970272064208986e-05
2146,2.135150134563446e-05
2147,2.214387059211731e-05
2148,2.2738799452781676e-05
2149,1.980271190404892e-05
2150,1.929383724927902e-05
2151,2.1301954984664916e-05
2152,2.112090587615967e-05
2153,2.139713615179062e-05
2154,2.1935999393463133e-05
2155,2.2625178098678588e-05
2156,1.994352787733078e-05
2157,2.1341815590858458e-05
2158,2.256762236356735e-05
2159,2.2108852863311768e-05
2160,2.332441508769989e-05
2161,2.3940019309520723e-05
2162,2.053007483482361e-05
2163,1.9847042858600615e-05
2164,2.060793340206146e-05
2165,2.2413581609725954e-05
2166,2.1884962916374206e-05
2167,2.3359060287475585e-05
2168,2.510417252779007e-05
2169,2.059377729892731e-05
2170,2.2017210721969604e-05
2171,2.252161502838135e-05
2172,2.2702105343341828e-05
2173,2.3234821856021882e-05
2174,2.071484923362732e-05
2175,2.1075643599033355e-05
2176,2.132151275873184e-05
2177,2.1412596106529234e-05
2178,2.1985545754432678e-05
2179,2.3179315030574797e-05
2180,1.9813515245914458e-05
2181,2.1016784012317656e-05
2182,2.2346898913383483e-05
2183,2.300906926393509e-05
2184,2.254750579595566e-05
2185,2.3202598094940184e-05
2186,2.0421482622623445e-05
2187,1.9761547446250915e-05
2188,2.0791590213775634e-05
2189,2.6574917137622832e-05
2190,3.8512609899044036e-05
2191,2.260170876979828e-05
2192,2.7700141072273254e-05
2193,3.7555210292339324e-05
2194,3.369804471731186e-05
2195,2.4612806737422942e-05
2196,3.076102584600449e-05
2197,2.3264437913894653e-05
2198,2.356152981519699e-05
2199,3.79614531993866e-05
2200,2.1394342184066772e-05
