n,Average Runtime
2000,0.10704347504788018
2001,7.872270108157941e-05
2002,8.724158529265225e-05
2003,9.370772631998037e-05
2004,7.266710869080484e-05
2005,4.793155333127075e-05
2006,5.224231401639301e-05
2007,8.693367381509275e-05
2008,6.774052505065242e-05
2009,7.18460114174313e-05
2010,8.734422245177953e-05
2011,7.37961174413826e-05
2012,7.112755130309623e-05
2013,7.359084312312803e-05
2014,8.816531972497544e-05
2015,6.517459607158216e-05
2016,6.671415345902432e-05
2017,5.142121674293065e-05
2018,8.210972733397881e-05
2019,7.451457755580648e-05
2020,5.183176537970624e-05
2021,0.00010705055701185629
2022,8.385455904003081e-05
2023,9.339981484242088e-05
2024,8.724158529238579e-05
2025,8.036489562819326e-05
2026,8.642048801936753e-05
2027,8.539411642738415e-05
2028,8.590730222310939e-05
2029,9.842903564187822e-05
2030,8.293082460735235e-05
2031,8.816531972470898e-05
2032,0.00010848747724052643
2033,7.092227698493047e-05
2034,5.111330526545999e-05
2035,8.37519218808147e-05
2036,4.844473912717362e-05
2037,9.278399188765718e-05
2038,7.759369233051316e-05
2039,6.425086163899251e-05
2040,6.620096766312145e-05
2041,9.76079383685935e-05
2042,8.806268256558169e-05
2043,9.175762029585144e-05
2044,8.128863006069409e-05
2045,8.693367381500395e-05
2046,7.318029448644126e-05
2047,6.640624198137602e-05
2048,8.457301915418825e-05
2049,7.133282562161724e-05
2050,7.225656005411807e-05
2051,7.461721471475613e-05
2052,7.348820596417838e-05
2053,8.169917869720323e-05
2054,7.985170983237921e-05
2055,8.744685961072917e-05
2056,0.00011844328167960327
2057,6.948535675643797e-05
2058,8.323873608500066e-05
2059,8.488093063174773e-05
2060,7.574622346568915e-05
2061,4.834210196795752e-05
2062,0.00028666558555512367
2063,7.379611744156023e-05
2064,4.9676385036967476e-05
2065,8.087808142418496e-05
2066,8.826795688419154e-05
2067,8.467565631340435e-05
2068,8.642048801901225e-05
2069,9.658156677678775e-05
2070,6.825371084646647e-05
2071,8.713894813352496e-05
2072,8.785740824777122e-05
2073,8.580466506415973e-05
2074,6.661151629954176e-05
2075,5.634780038299425e-05
2076,7.605413494324865e-05
2077,8.467565631331553e-05
2078,5.039484515139137e-05
2079,8.919169131678117e-05
2080,8.693367381482631e-05
2081,8.785740824750477e-05
2082,0.00010171342473519474
2083,7.892797539987839e-05
2084,4.9881659355488495e-05
2085,4.813682764952532e-05
2086,0.00010499781382877771
2087,8.570202790521008e-05
2088,8.78574082476824e-05
2089,4.9881659355488495e-05
2090,6.989590539312474e-05
2091,5.58346145871802e-05
2092,8.775477108837748e-05
2093,9.309190336521666e-05
2094,8.662576233771091e-05
2095,0.00010222661053091998
2096,8.64204880192787e-05
2097,8.785740824741594e-05
2098,7.471985187406105e-05
