n,Average Runtime
2000,2.114325478853666e-05
2001,3.910475764287574e-05
2002,3.438344832116351e-05
2003,4.1465412303733076e-05
2004,3.715465161869061e-05
2005,4.064431503039076e-05
2006,3.735992593702567e-05
2007,3.818102321036659e-05
2008,2.1348529106872403e-05
2009,2.4838192518573943e-05
2010,3.038059911362606e-05
2011,3.4691359798665054e-05
2012,2.2990723653554257e-05
2013,3.8796846165367604e-05
2014,6.25060299331015e-05
2015,4.8034190490464644e-05
2016,2.319599797189209e-05
2017,3.889948332453652e-05
2018,3.807838605119906e-05
2019,3.7770474573692314e-05
2020,3.448608548032861e-05
2021,3.79757488920357e-05
2022,2.3298635131061008e-05
2023,2.463291820023472e-05
2024,3.931003196119276e-05
2025,2.5146103996070977e-05
2026,4.2697058213742035e-05
2027,3.910475764287713e-05
2028,3.602564286785404e-05
2029,2.524874115524267e-05
2030,5.76820834522207e-05
2031,3.807838605120462e-05
2032,3.530718275366884e-05
2033,2.37091837677339e-05
2034,3.510190843533656e-05
2035,3.9823217757040116e-05
2036,3.612828002702018e-05
2037,4.0952226507884325e-05
2038,3.499927127617042e-05
2039,3.961794343873004e-05
2040,3.22280679786513e-05
2041,3.7462563096202216e-05
2042,2.2785449335227527e-05
2043,4.064431503041366e-05
2044,2.442764388190799e-05
2045,2.453028104105748e-05
2046,3.5717731390338955e-05
2047,3.8181023210404064e-05
2048,2.411973240437071e-05
2049,3.7873111732844576e-05
2050,2.9662138999453357e-05
2051,3.992585491621181e-05
2052,3.797574889204958e-05
2053,4.126013798541051e-05
2054,3.664146582287309e-05
2055,4.218387241790022e-05
2056,4.033640355288748e-05
2057,4.043904071205917e-05
2058,2.2272263539380165e-05
2059,5.018957083300357e-05
2060,2.381182092688894e-05
2061,4.013112923454409e-05
2062,3.756520025537391e-05
2063,3.8796846165367604e-05
2064,3.448608548034526e-05
2065,2.4427643881930194e-05
2066,2.5659289791934992e-05
2067,4.24917838953931e-05
2068,3.756520025537391e-05
2069,6.599569334480027e-05
2070,2.884104172613533e-05
2071,6.014537527225805e-05
2072,7.379611744153802e-05
2073,3.859157184702422e-05
2074,3.5717731390338955e-05
2075,4.0746952189563145e-05
2076,3.746256309618001e-05
2077,4.00284920753502e-05
2078,3.510190843533101e-05
2079,3.7462563096202216e-05
2080,3.715465161867604e-05
2081,5.757944629305456e-05
2082,3.8591571847046424e-05
2083,3.777047457369509e-05
2084,3.6949377300343754e-05
2085,5.634780038303866e-05
2086,5.9324277998906715e-05
2087,4.392870412377459e-05
2088,3.64361915045075e-05
2089,4.238914673624361e-05
2090,4.9984296514637985e-05
2091,4.382606696460289e-05
2092,5.172912822053455e-05
2093,5.203703969796081e-05
2094,4.023376639372689e-05
2095,4.403134128292407e-05
2096,3.65388286637236e-05
2097,4.064431503043586e-05
2098,3.623091718618632e-05
2099,4.12601379853772e-05
2100,3.4486085480334164e-05
2101,3.777047457371729e-05
2102,3.797574889201627e-05
2103,5.665571186053153e-05
2104,3.6846740141172064e-05
2105,3.9207394802054377e-05
2106,3.428081116199078e-05
2107,4.0439040712070275e-05
2108,8.39571961991803e-05
2109,3.8386297528725244e-05
2110,3.653882866365699e-05
2111,3.879684616532319e-05
2112,3.5409819912834986e-05
2113,2.5043466836871532e-05
2114,3.3664988206982825e-05
2115,3.725728877785883e-05
2116,3.746256309615781e-05
2117,2.4222369563520197e-05
2118,3.8078386051232374e-05
2119,6.312185288814831e-05
2120,3.510190843534211e-05
2121,3.653882866365699e-05
2122,3.797574889201627e-05
2123,4.2594421054586995e-05
2124,2.2374900698540755e-05
2125,2.43250067227585e-05
2126,2.206698922102568e-05
2127,3.8488934687874735e-05
2128,3.5717731390327856e-05
2129,3.8386297528725244e-05
2130,3.438344832116247e-05
2131,4.0952226507884325e-05
2132,2.5351378314408814e-05
2133,6.527723323064283e-05
2134,2.3914458086027324e-05
2135,3.972058059789063e-05
2136,3.7052014459559855e-05
2137,2.453028104105748e-05
2138,3.5820368549499546e-05
2139,3.941266912037556e-05
2140,3.612828002701463e-05
2141,2.3914458086071732e-05
2142,2.5659289791901684e-05
2143,3.7359925937030526e-05
2144,3.777047457371729e-05
2145,3.931003196120386e-05
2146,3.5307182753641084e-05
2147,4.197859809957904e-05
2148,2.2374900698629575e-05
2149,3.920739480212099e-05
2150,2.2990723653615318e-05
