n,Average Runtime
7000,0.0711332989840974
7005,8.200709017495145e-05
7010,6.80484365281786e-05
7015,9.730002689094519e-05
7020,7.595149778404364e-05
7025,0.00011084813190105347
7030,7.471985187403884e-05
7035,8.344401040332184e-05
7040,4.49550757154471e-05
7045,7.359084312323905e-05
7050,5.7476809133860665e-05
7055,6.004273811306415e-05
7060,7.020381687063981e-05
7065,4.167068662206397e-05
7070,4.74183675354567e-05
7075,5.1831765379684035e-05
7080,4.2491783895437504e-05
7085,6.260866709228985e-05
7090,6.455877311641877e-05
7095,4.6186721625463e-05
