n,Average Runtime
7000,1.2111184781783136e-05
7005,1.5087662397645328e-05
7010,1.4266565124303882e-05
7015,3.263861661531344e-05
7020,1.4471839442640327e-05
7025,1.4471839442640327e-05
7030,2.5967201269416068e-05
7035,3.777047457369509e-05
7040,1.755095421766828e-05
7045,1.5806122511818897e-05
7050,1.2727007736790252e-05
7055,1.4471839442638245e-05
7060,1.42665651243018e-05
7065,1.621667114849179e-05
7070,1.4882388079312525e-05
7075,3.694937730035763e-05
7080,1.621667114848624e-05
7085,1.5806122511821676e-05
7090,1.785886569517503e-05
7095,5.337132276717338e-05
