A,CoinsNeeded
2000,15
2001,16
2002,17
2003,18
2004,19
2005,17
2006,16
2007,17
2008,18
2009,19
2010,20
2011,18
2012,17
2013,16
2014,17
2015,18
2016,19
2017,19
2018,18
2019,17
2020,18
2021,19
2022,18
2023,19
2024,15
2025,16
2026,17
2027,18
2028,19
2029,20
2030,16
2031,17
2032,18
2033,19
2034,20
2035,19
2036,17
2037,16
2038,17
2039,18
2040,19
2041,20
2042,18
2043,17
2044,18
2045,19
2046,20
2047,21
2048,19
2049,18
2050,17
2051,18
2052,19
2053,20
2054,20
2055,19
2056,18
2057,19
2058,20
2059,19
2060,20
2061,16
2062,17
2063,18
2064,19
2065,20
2066,21
2067,17
2068,18
2069,19
2070,20
2071,21
2072,20
2073,18
2074,17
2075,18
2076,19
2077,20
2078,21
2079,19
2080,18
2081,19
2082,20
2083,21
2084,22
2085,20
2086,19
2087,18
2088,19
2089,20
2090,21
2091,21
2092,20
2093,19
2094,20
2095,21
2096,20
2097,21
2098,17
2099,18
2100,14
2101,15
2102,16
2103,17
2104,18
2105,19
2106,15
2107,16
2108,17
2109,18
2110,19
2111,18
2112,16
2113,15
2114,16
2115,17
2116,18
2117,19
2118,17
2119,16
2120,17
2121,18
2122,19
2123,20
2124,18
2125,17
2126,16
2127,17
2128,18
2129,19
2130,19
2131,18
2132,17
2133,18
2134,19
2135,18
2136,19
2137,15
2138,16
2139,17
2140,18
2141,19
2142,20
2143,16
2144,17
2145,18
2146,19
2147,20
2148,19
2149,17
2150,16
2151,17
2152,18
2153,19
2154,20
2155,18
2156,17
2157,18
2158,19
2159,20
2160,21
2161,19
2162,18
2163,17
2164,18
2165,19
2166,20
2167,20
2168,19
2169,18
2170,19
2171,20
2172,19
2173,20
2174,16
2175,17
2176,18
2177,19
2178,20
2179,21
2180,17
2181,18
2182,19
2183,20
2184,21
2185,20
2186,18
2187,17
2188,18
2189,19
2190,20
2191,21
2192,19
2193,18
2194,19
2195,20
2196,21
2197,22
2198,20
2199,19
2200,18
