n,Average Runtime
4000,3.396905958652496e-05
4011,3.4240446984767915e-05
4022,3.55992466211319e-05
4033,3.528613597154617e-05
4044,3.608986735343933e-05
4055,3.5554729402065276e-05
4066,6.181057542562485e-05
4077,3.506820648908615e-05
4088,3.575999289751053e-05
4099,3.697462379932403e-05
4110,3.512278199195862e-05
4121,3.929194062948227e-05
4132,3.634057939052582e-05
4143,3.6512315273284915e-05
4154,4.3412856757640836e-05
4165,3.533978015184403e-05
4176,5.0399266183376315e-05
4187,3.6805123090744016e-05
4198,3.676470369100571e-05
4209,3.690235316753387e-05
4220,3.567952662706375e-05
4231,3.614574670791626e-05
4242,3.681890666484833e-05
4253,3.638211637735367e-05
4264,3.715828061103821e-05
4275,3.5608373582363126e-05
4286,3.644507378339767e-05
4297,3.800205886363983e-05
4308,3.7194043397903445e-05
4319,3.7936121225357054e-05
4330,3.631822764873505e-05
4341,3.799106925725937e-05
4352,3.671739250421524e-05
4363,3.759637475013733e-05
4374,9.014829993247986e-05
4385,3.681182861328125e-05
4396,3.82784754037857e-05
4407,3.819670528173447e-05
4418,3.831014037132263e-05
4429,3.829263150691986e-05
4440,3.730617463588714e-05
4451,4.086997359991074e-05
4462,3.7896819412708284e-05
4473,3.908611834049225e-05
4484,3.8957782089710234e-05
4495,3.836732357740402e-05
4506,3.789961338043213e-05
4517,3.971830010414123e-05
4528,3.9120018482208255e-05
4539,3.929156810045242e-05
4550,3.728196024894714e-05
4561,3.8243085145950315e-05
4572,3.963652998209e-05
4583,3.998279571533203e-05
4594,3.992803394794464e-05
4605,3.872141242027283e-05
4616,3.9027445018291475e-05
4627,3.9626844227313995e-05
4638,3.956221044063568e-05
4649,4.035215824842453e-05
4660,4.45118173956871e-05
4671,4.002358764410019e-05
4682,3.965701907873154e-05
4693,4.045329988002777e-05
4704,3.9911270141601564e-05
4715,3.99373471736908e-05
4726,3.9250217378139494e-05
4737,3.997776657342911e-05
4748,4.077143967151642e-05
4759,4.144944250583649e-05
4770,3.9560720324516296e-05
4781,4.07729297876358e-05
4792,4.1443295776844026e-05
4803,4.033669829368591e-05
4814,4.275031387805939e-05
4825,4.0168501436710356e-05
4836,4.0383264422416684e-05
4847,4.113391041755676e-05
4858,4.113186150789261e-05
4869,4.1865743696689606e-05
4880,4.034861922264099e-05
4891,4.114583134651184e-05
4902,4.066824913024902e-05
4913,4.145056009292602e-05
4924,4.214495420455933e-05
4935,4.065912216901779e-05
4946,4.150457680225372e-05
4957,4.229266196489334e-05
4968,4.279203712940216e-05
4979,4.283729940652847e-05
4990,4.220940172672272e-05
5001,4.1709095239639285e-05
5012,4.1803717613220216e-05
5023,4.318729043006897e-05
5034,4.358142614364624e-05
5045,4.242099821567535e-05
5056,4.240032285451889e-05
5067,4.257503896951675e-05
5078,4.258211702108383e-05
5089,4.324093461036682e-05
5100,4.270132631063461e-05
5111,4.2109377682209014e-05
5122,4.287995398044586e-05
5133,4.937071353197098e-05
5144,4.594903439283371e-05
5155,4.207510501146317e-05
5166,4.2957067489624026e-05
5177,4.362035542726517e-05
5188,4.428941756486893e-05
5199,4.482213407754898e-05
5210,4.308801144361496e-05
5221,4.3881870806217196e-05
5232,4.42972406744957e-05
5243,4.437565803527832e-05
5254,4.448704421520233e-05
5265,4.3931789696216585e-05
5276,4.328880459070206e-05
5287,4.3978914618492126e-05
5298,4.47271391749382e-05
5309,4.467200487852096e-05
5320,4.418641328811646e-05
5331,4.402399063110352e-05
5342,4.468541592359543e-05
5353,4.420671612024307e-05
5364,4.564672708511353e-05
5375,4.4162385165691376e-05
5386,4.495494067668915e-05
5397,4.698112607002258e-05
5408,4.5112520456314084e-05
5419,4.663914442062378e-05
5430,4.4929049909114835e-05
5441,4.7251395881176e-05
5452,4.52941283583641e-05
5463,5.034618079662323e-05
5474,4.6749413013458255e-05
5485,4.46004793047905e-05
5496,4.6150386333465575e-05
5507,4.548449069261551e-05
5518,4.617366939783096e-05
5529,4.679951816797256e-05
5540,4.603452980518341e-05
5551,4.4947303831577304e-05
5562,4.6436861157417295e-05
5573,4.648268222808838e-05
5584,4.7470256686210635e-05
5595,5.1237829029560086e-05
5606,4.64513897895813e-05
