n,Average Runtime
4000,1.6486085951328277e-05
4011,1.577325165271759e-05
4022,1.9817613065242767e-05
4033,1.788455992937088e-05
4044,1.731663942337036e-05
4055,1.6902387142181396e-05
4066,1.7220713198184966e-05
4077,1.6311369836330414e-05
4088,1.5758350491523744e-05
4099,1.6130320727825164e-05
4110,1.7754174768924714e-05
4121,1.7342530190944673e-05
4132,1.6932003200054167e-05
4143,1.6481801867485047e-05
4154,1.8002279102802276e-05
4165,1.7649680376052857e-05
4176,1.72588974237442e-05
4187,1.7419084906578063e-05
4198,1.7021410167217253e-05
4209,1.6561895608901978e-05
4220,1.658853143453598e-05
4231,1.848209649324417e-05
4242,1.7611123621463775e-05
4253,1.742783933877945e-05
4264,1.71540305018425e-05
4275,1.7187558114528656e-05
4286,1.666322350502014e-05
4297,1.8325075507164003e-05
4308,1.7942115664482117e-05
4319,1.765303313732147e-05
4330,1.72492116689682e-05
4341,1.8716417253017424e-05
4352,1.7020106315612794e-05
4363,1.6151368618011476e-05
4374,1.8387846648693084e-05
4385,1.8699653446674346e-05
4396,1.7665140330791473e-05
4407,1.705307513475418e-05
4418,1.870878040790558e-05
4429,1.835078001022339e-05
4440,1.8069706857204438e-05
4451,1.7643533647060393e-05
4462,1.7217546701431275e-05
4473,1.734551042318344e-05
4484,1.9160285592079163e-05
4495,1.8755719065666198e-05
4506,1.6462057828903198e-05
4517,1.8023699522018432e-05
4528,1.8308311700820924e-05
4539,1.7298385500907898e-05
4550,1.7409399151802064e-05
4561,1.8876232206821442e-05
4572,1.8751621246337892e-05
4583,1.718290150165558e-05
4594,1.7943419516086577e-05
4605,1.9094347953796388e-05
4616,1.9366852939128876e-05
4627,1.835990697145462e-05
4638,1.79508700966835e-05
4649,1.7531216144561768e-05
4660,1.7973966896533967e-05
4671,1.7662160098552703e-05
4682,1.7191097140312194e-05
4693,1.6827136278152466e-05
4704,1.838952302932739e-05
4715,1.8836185336112977e-05
4726,1.8285587430000305e-05
4737,1.7146021127700807e-05
4748,1.943986862897873e-05
4759,1.9210949540138243e-05
4770,1.874677836894989e-05
4781,1.832488924264908e-05
4792,1.973584294319153e-05
4803,1.7586909234523773e-05
4814,1.7231516540050507e-05
4825,1.824144273996353e-05
4836,1.9082427024841307e-05
4847,2.0804256200790407e-05
4858,1.841839402914047e-05
4869,1.795198768377304e-05
4880,1.8293224275112153e-05
4891,1.889616250991821e-05
4902,1.870766282081604e-05
4913,1.829713582992554e-05
4924,1.7859414219856264e-05
4935,2.0172446966171265e-05
4946,1.954324543476105e-05
4957,1.7635151743888854e-05
4968,1.9035674631595613e-05
4979,1.9376911222934722e-05
4990,1.813918352127075e-05
5001,1.7988495528697968e-05
5012,1.8396787345409395e-05
5023,1.9676610827445983e-05
5034,1.940019428730011e-05
5045,1.982543617486954e-05
5056,1.8667243421077728e-05
5067,1.828838139772415e-05
5078,1.9637122750282288e-05
5089,2.0325183868408203e-05
5100,1.7097778618335723e-05
5111,1.9377470016479494e-05
5122,1.9107945263385773e-05
5133,1.8690526485443115e-05
5144,1.8334947526454926e-05
5155,1.9770488142967225e-05
5166,1.9598007202148438e-05
5177,1.911073923110962e-05
5188,1.8723681569099428e-05
5199,1.897364854812622e-05
5210,2.0519085228443146e-05
5221,2.1076202392578126e-05
5232,1.991167664527893e-05
5243,1.9463710486888885e-05
5254,1.9236654043197633e-05
5265,1.8848665058612822e-05
5276,1.8181465566158295e-05
5287,1.7847307026386262e-05
5298,2.5325454771518707e-05
5309,1.9776448607444763e-05
5320,1.9397586584091187e-05
5331,1.8977187573909758e-05
5342,2.0498596131801606e-05
5353,2.0159222185611724e-05
5364,2.0416080951690672e-05
5375,1.944117248058319e-05
5386,1.972205936908722e-05
5397,2.1312944591045378e-05
5408,1.967288553714752e-05
5419,1.8645636737346648e-05
5430,2.1155178546905518e-05
5441,1.9984878599643706e-05
5452,1.9536353647708893e-05
5463,2.3341923952102662e-05
5474,1.9191764295101166e-05
5485,2.0916387438774108e-05
5496,2.0600855350494385e-05
5507,2.0125508308410643e-05
5518,2.0300038158893585e-05
5529,2.1335668861865997e-05
5540,2.1562539041042327e-05
5551,1.926720142364502e-05
5562,1.8920190632343294e-05
5573,2.0588189363479616e-05
5584,2.0192936062812805e-05
5595,2.052895724773407e-05
5606,2.0195543766021728e-05
5617,2.0698457956314086e-05
5628,2.024061977863312e-05
5639,2.0005926489830018e-05
5650,1.96138396859169e-05
5661,1.9173510372638704e-05
5672,2.1577440202236174e-05
5683,2.188030630350113e-05
5694,2.1419674158096314e-05
5705,2.0506419241428374e-05
5716,2.0226649940013886e-05
5727,1.978892832994461e-05
5738,1.9413046538829802e-05
5749,2.0346790552139283e-05
5760,2.1917559206485748e-05
5771,2.086758613586426e-05
5782,2.055969089269638e-05
5793,2.012047916650772e-05
5804,2.2444874048233032e-05
5815,2.1872855722904205e-05
5826,2.0901672542095184e-05
5837,2.0402856171131135e-05
5848,2.002902328968048e-05
5859,2.1292082965373994e-05
5870,2.0241178572177886e-05
5881,2.1652132272720336e-05
5892,2.2048316895961762e-05
5903,2.092532813549042e-05
5914,2.0545534789562224e-05
5925,2.00735405087471e-05
5936,2.042129635810852e-05
5947,2.200249582529068e-05
5958,2.161860466003418e-05
5969,2.1237693727016448e-05
5980,2.0860321819782256e-05
5991,2.228356897830963e-05
6002,2.0099058747291566e-05
6013,1.9648298621177674e-05
6024,2.2003427147865295e-05
6035,2.1594762802124024e-05
6046,2.1247193217277527e-05
6057,2.0853802561759947e-05
6068,2.237539738416672e-05
6079,2.1946057677268983e-05
6090,2.1620281040668486e-05
6101,2.1877698600292206e-05
6112,2.088695764541626e-05
6123,2.115108072757721e-05
6134,2.2728927433490753e-05
6145,2.2953003644943236e-05
6156,1.9873492419719696e-05
6167,2.1605752408504486e-05
6178,2.1261349320411683e-05
6189,2.1640583872795106e-05
6200,2.0498596131801606e-05
6211,2.267174422740936e-05
6222,2.3137964308261872e-05
6233,2.2003427147865295e-05
6244,2.1646730601787567e-05
6255,2.3036077618598937e-05
6266,2.264734357595444e-05
6277,2.2367388010025024e-05
6288,2.349391579627991e-05
6299,2.236589789390564e-05
6310,2.2708624601364136e-05
6321,2.1721608936786653e-05
6332,2.117753028869629e-05
6343,2.084914594888687e-05
6354,2.2346340119838715e-05
6365,2.203211188316345e-05
6376,2.1624751389026643e-05
6387,2.1174177527427672e-05
6398,2.3429468274116517e-05
6409,2.3707933723926545e-05
6420,2.2673793137073516e-05
6431,2.313200384378433e-05
6442,2.3785047233104706e-05
6453,2.1603889763355255e-05
6464,2.1262839436531066e-05
6475,2.156030386686325e-05
6486,2.307780086994171e-05
6497,2.281107008457184e-05
6508,2.3115985095500945e-05
