n,Average Runtime
4000,5.627330392599106e-05
4011,5.583446472883225e-05
4022,5.637947469949722e-05
4033,5.607269704341888e-05
4044,5.568861961364746e-05
4055,5.866028368473053e-05
4066,5.682874470949173e-05
4077,6.290953606367112e-05
4088,8.43307003378868e-05
4099,5.75503334403038e-05
4110,5.712825804948807e-05
4121,5.7237781584262847e-05
4132,5.7351402938365935e-05
4143,8.383505046367645e-05
4154,5.777254700660706e-05
4165,5.745980888605118e-05
4176,8.400827646255493e-05
4187,5.784854292869568e-05
4198,8.307527750730514e-05
4209,5.8945082128047946e-05
4220,8.263103663921356e-05
4231,5.816090852022171e-05
4242,5.8175623416900633e-05
4253,8.694268763065338e-05
4264,5.883350968360901e-05
4275,5.9147179126739505e-05
4286,5.943886935710907e-05
4297,5.876887589693069e-05
4308,5.8235228061676024e-05
4319,5.873553454875946e-05
4330,5.9462711215019225e-05
4341,5.9788115322589874e-05
4352,5.969516932964325e-05
4363,5.945786833763123e-05
4374,5.969610065221786e-05
4385,6.157048046588898e-05
4396,6.017796695232391e-05
4407,6.1030127108097075e-05
4418,6.0335732996463776e-05
4429,6.073452532291412e-05
4440,5.952063947916031e-05
4451,6.051119416952133e-05
4462,6.068795919418335e-05
4473,6.0778483748435975e-05
4484,6.110444664955139e-05
4495,6.163101643323899e-05
4506,6.222482770681381e-05
4517,6.923656910657882e-05
4528,6.142444908618927e-05
4539,6.221812218427658e-05
4550,6.184484809637069e-05
4561,6.241165101528168e-05
4572,6.285179406404496e-05
4583,6.19981437921524e-05
4594,6.273053586483001e-05
4605,6.229858845472336e-05
4616,6.184205412864685e-05
4627,6.353035569190979e-05
4638,6.29723072052002e-05
4649,6.292406469583511e-05
4660,6.275679916143418e-05
4671,6.314255297183991e-05
4682,6.305836141109466e-05
4693,6.419718265533447e-05
4704,6.373263895511627e-05
4715,6.450582295656205e-05
4726,6.345752626657486e-05
4737,6.459038704633712e-05
4748,6.380490958690643e-05
4759,6.487295031547547e-05
4770,6.475970149040222e-05
4781,6.470251828432083e-05
4792,6.47095963358879e-05
4803,6.616581231355667e-05
4814,6.52112066745758e-05
4825,6.56086951494217e-05
4836,6.563682109117508e-05
4847,6.530527025461197e-05
4858,6.491784006357193e-05
4869,6.638318300247192e-05
4880,6.59305602312088e-05
4891,6.645359098911285e-05
4902,6.713587790727616e-05
4913,6.74298033118248e-05
4924,6.534289568662643e-05
4935,6.79943710565567e-05
4946,6.75160437822342e-05
4957,6.656255573034286e-05
4968,6.684586405754089e-05
4979,6.66571781039238e-05
4990,6.667729467153549e-05
5001,6.774067878723145e-05
5012,6.764531135559083e-05
5023,6.73120841383934e-05
5034,6.705634295940399e-05
5045,6.854645907878875e-05
5056,6.807465106248856e-05
5067,6.853565573692322e-05
5078,6.848406046628952e-05
5089,7.073152810335159e-05
5100,6.772745400667191e-05
5111,6.994623690843582e-05
5122,6.819665431976319e-05
5133,6.965529173612595e-05
5144,6.915051490068436e-05
5155,8.051842451095581e-05
5166,8.049458265304565e-05
5177,8.10280442237854e-05
5188,7.973015308380127e-05
5199,8.068978786468506e-05
5210,8.085072040557862e-05
5221,8.050501346588135e-05
5232,8.135084062814713e-05
5243,8.10425728559494e-05
5254,8.175969123840332e-05
5265,8.220188319683075e-05
5276,8.12143087387085e-05
5287,8.302479982376098e-05
5298,8.226577192544937e-05
5309,8.20038840174675e-05
5320,8.271727710962296e-05
5331,8.235052227973938e-05
5342,8.298493921756744e-05
5353,8.265003561973572e-05
5364,8.298195898532867e-05
5375,8.38862732052803e-05
5386,8.340608328580857e-05
5397,8.393488824367523e-05
5408,8.308198302984238e-05
5419,8.412618190050125e-05
5430,8.374452590942383e-05
5441,8.481517434120179e-05
5452,8.418392390012741e-05
5463,8.488334715366364e-05
5474,8.466430008411408e-05
5485,8.508972823619842e-05
5496,8.515231311321259e-05
5507,8.550882339477539e-05
5518,8.516553789377213e-05
5529,8.593834936618805e-05
5540,8.547622710466384e-05
5551,8.593089878559113e-05
5562,8.560791611671448e-05
5573,8.641034364700317e-05
5584,8.639432489871978e-05
5595,8.67282971739769e-05
5606,8.664466440677643e-05
5617,8.716117590665818e-05
5628,8.595660328865051e-05
5639,8.760038763284683e-05
5650,8.727256208658218e-05
5661,8.75985249876976e-05
5672,8.689910173416137e-05
5683,8.795149624347686e-05
5694,8.753761649131775e-05
5705,8.881092071533203e-05
5716,8.798018097877502e-05
5727,8.84341076016426e-05
5738,8.844453841447831e-05
5749,8.81098210811615e-05
5760,8.837319910526276e-05
5771,8.932650089263917e-05
5782,8.869208395481109e-05
5793,8.964762091636657e-05
5804,8.914098143577575e-05
5815,8.992999792099e-05
5826,8.97115096449852e-05
5837,9.021889418363571e-05
5848,8.957609534263611e-05
5859,8.980352431535721e-05
5870,9.021200239658355e-05
5881,9.052455425262451e-05
5892,9.036660194396972e-05
5903,9.122807532548904e-05
5914,9.10252332687378e-05
5925,9.061750024557114e-05
5936,9.105931967496872e-05
5947,9.178556501865387e-05
5958,9.070765227079392e-05
5969,9.187031537294388e-05
5980,9.171869605779648e-05
5991,9.222030639648438e-05
6002,9.221136569976806e-05
6013,9.26898792386055e-05
6024,9.21793282032013e-05
6035,9.545478969812393e-05
6046,9.25535336136818e-05
6057,9.30851325392723e-05
6068,9.2986598610878e-05
6079,9.351391345262528e-05
6090,9.394735097885132e-05
6101,9.386241436004639e-05
6112,9.330660104751587e-05
6123,9.427275508642197e-05
6134,9.303372353315353e-05
6145,9.427517652511596e-05
6156,9.490512311458588e-05
6167,9.458959102630616e-05
6178,9.413771331310273e-05
6189,9.517557919025421e-05
6200,9.387638419866562e-05
6211,9.590070694684983e-05
6222,9.495783597230911e-05
6233,9.549818933010101e-05
6244,9.543951600790023e-05
6255,9.785927832126618e-05
6266,9.551532566547394e-05
6277,9.718183428049087e-05
6288,9.563937783241272e-05
6299,8.321888744831086e-05
6310,8.254703134298324e-05
6321,8.348841220140457e-05
6332,8.534584194421768e-05
6343,8.401535451412201e-05
6354,8.36806371808052e-05
6365,8.428338915109635e-05
6376,8.422117680311203e-05
6387,8.500516414642335e-05
6398,8.431468158960342e-05
6409,8.490309119224548e-05
6420,8.363183587789536e-05
6431,8.499156683683395e-05
6442,8.492432534694672e-05
6453,8.532684296369553e-05
6464,8.501969277858734e-05
6475,8.565951138734817e-05
6486,8.604563772678376e-05
6497,8.800160139799118e-05
6508,8.535869419574737e-05
6519,8.682627230882645e-05
6530,8.57282429933548e-05
6541,8.5357204079628e-05
6552,8.700117468833924e-05
6563,8.639805018901825e-05
6574,8.692983537912369e-05
6585,9.077303111553192e-05
6596,8.75025987625122e-05
6607,0.00010571442544460297
6618,9.770039469003677e-05
6629,0.00010321252048015595
6640,9.630881249904633e-05
6651,0.00010073594748973846
6662,9.622648358345031e-05
6673,9.552221745252609e-05
6684,0.00010202974081039429
6695,9.972285479307175e-05
6706,8.919462561607361e-05
6717,9.738486260175705e-05
6728,9.739771485328674e-05
6739,0.00010056104511022568
6750,0.00010095629841089249
6761,9.865500032901764e-05
6772,0.00010337606072425842
6783,0.00010526888072490693
6794,9.862948209047318e-05
6805,8.87807458639145e-05
6816,0.00011701639741659164
6827,9.27584245800972e-05
6838,8.925572037696839e-05
6849,9.02889296412468e-05
6860,8.959993720054626e-05
6871,9.005255997180938e-05
6882,9.0034119784832e-05
6893,0.00011654421687126159
6904,9.553655982017518e-05
6915,9.150467813014984e-05
6926,9.05180349946022e-05
6937,0.00011729579418897628
6948,9.105969220399857e-05
6959,9.16309654712677e-05
6970,9.113904088735581e-05
6981,9.17971134185791e-05
6992,9.887684136629104e-05
